label,file,window_id,start_sample,end_sample
OR,OR.csv,18,73728,81920
OR,OR.csv,19,77824,86016
OR,OR.csv,20,81920,90112
OR,OR.csv,21,86016,94208
OR,OR.csv,22,90112,98304
OR,OR.csv,23,94208,102400
OR,OR.csv,24,98304,106496
OR,OR.csv,25,102400,110592
OR,OR.csv,26,106496,114688
OR,OR.csv,27,110592,118784
OR,OR.csv,28,114688,122880
OR,OR.csv,29,118784,126976
OR,OR.csv,30,122880,131072
OR,OR.csv,31,126976,135168
OR,OR.csv,32,131072,139264
OR,OR.csv,33,135168,143360
OR,OR.csv,34,139264,147456
OR,OR.csv,35,143360,151552
OR,OR.csv,36,147456,155648
OR,OR.csv,37,151552,159744
OR,OR.csv,38,155648,163840
OR,OR.csv,39,159744,167936
OR,OR.csv,40,163840,172032
OR,OR.csv,41,167936,176128
OR,OR.csv,42,172032,180224
OR,OR.csv,43,176128,184320
OR,OR.csv,44,180224,188416
OR,OR.csv,45,184320,192512
OR,OR.csv,46,188416,196608
OR,OR.csv,47,192512,200704
OR,OR.csv,48,196608,204800
OR,OR.csv,49,200704,208896
OR,OR.csv,50,204800,212992
OR,OR.csv,51,208896,217088
OR,OR.csv,52,212992,221184
OR,OR.csv,53,217088,225280
OR,OR.csv,54,221184,229376
OR,OR.csv,55,225280,233472
OR,OR.csv,56,229376,237568
OR,OR.csv,57,233472,241664
OR,OR.csv,58,237568,245760
OR,OR.csv,59,241664,249856
OR,OR.csv,60,245760,253952
